date,open,high,low,close
2019-04-30,3.18,3.31,3.18,3.3
2019-04-29,3.34,3.36,3.09,3.17
2019-04-26,3.4,3.41,3.32,3.33
2019-04-25,3.57,3.72,3.43,3.44
2019-04-24,3.44,3.6,3.42,3.6
2019-04-23,3.54,3.55,3.43,3.45
2019-04-22,3.69,3.69,3.52,3.54
2019-04-19,3.72,3.77,3.6,3.67
2019-04-18,3.8,3.83,3.6,3.69
2019-04-17,3.49,3.8,3.45,3.7
2019-04-16,3.43,3.49,3.36,3.48
2019-04-15,3.59,3.64,3.45,3.46
2019-04-12,3.36,3.71,3.35,3.64
2019-04-11,3.31,3.48,3.26,3.37
2019-04-10,3.29,3.31,3.22,3.28
2019-04-09,3.29,3.38,3.26,3.32
2019-04-08,3.34,3.35,3.19,3.25
2019-04-04,3.31,3.45,3.28,3.3
2019-04-03,3.18,3.25,3.17,3.24
2019-04-02,3.2,3.3,3.18,3.21
2019-04-01,3.11,3.22,3.09,3.18
2019-03-29,3.0,3.09,2.98,3.08
2019-03-28,3.0,3.04,2.97,3.0
2019-03-27,3.04,3.06,2.97,3.02
2019-03-26,3.14,3.15,3.0,3.03
2019-03-25,3.05,3.16,3.03,3.13
2019-03-22,3.14,3.15,3.07,3.11
2019-03-21,3.12,3.17,3.11,3.14
2019-03-20,3.14,3.17,3.05,3.12
2019-03-19,3.17,3.22,3.12,3.15
2019-03-18,3.1,3.15,3.06,3.15
2019-03-15,3.04,3.1,3.03,3.07
2019-03-14,3.1,3.16,2.96,3.03
2019-03-13,3.25,3.28,3.1,3.1
2019-03-12,3.13,3.39,3.11,3.3
2019-03-11,2.94,3.12,2.94,3.08
2019-03-08,3.09,3.11,2.92,2.93
2019-03-07,3.07,3.22,3.03,3.17
2019-03-06,2.96,3.17,2.93,3.08
2019-03-05,2.89,2.93,2.86,2.93
2019-03-04,2.88,2.94,2.86,2.88
2019-03-01,2.86,2.88,2.82,2.87
2019-02-28,2.88,2.94,2.84,2.87
2019-02-27,2.83,2.93,2.82,2.89
2019-02-26,2.83,3.0,2.76,2.85
2019-02-25,2.7,2.82,2.68,2.8
2019-02-22,2.62,2.67,2.61,2.67
2019-02-21,2.67,2.7,2.62,2.63
2019-02-20,2.68,2.7,2.58,2.68
2019-02-19,2.69,2.75,2.64,2.67
2019-02-18,2.58,2.68,2.56,2.65
2019-02-15,2.54,2.65,2.53,2.56
2019-02-14,2.55,2.56,2.52,2.53
2019-02-13,2.52,2.56,2.51,2.55
2019-02-12,2.5,2.55,2.49,2.54
2019-02-11,2.42,2.52,2.42,2.51
2019-02-01,2.36,2.44,2.35,2.43
2019-01-31,2.38,2.42,2.34,2.35
2019-01-30,2.39,2.42,2.33,2.39
2019-01-29,2.45,2.48,2.38,2.38
2019-01-28,2.53,2.56,2.46,2.46
